usage_id,tenant_id,user_id,feature_id,used_at,duration_sec
443ca260-5b2f-4e50-8988-0049297d696c,62ea82c0-e793-4ddb-bb03-c4633bfa3b77,b691b2f7-2559-4c1c-99d0-3e094a50e70a,f004,2025-01-01 03:17:40,416
c8453207-add4-4173-ac38-aad5a8a8913d,fbe7210f-9f35-4b69-854c-4d633faf9118,ab513da6-5351-4ed5-8684-fb602fe45f21,f006,2025-01-01 04:43:56,16
9d679425-67fe-44d5-829e-f5f2b6145e6f,62ea82c0-e793-4ddb-bb03-c4633bfa3b77,e204b40d-54ce-4790-8c10-b3a4b0af102e,f013,2025-01-01 03:14:29,587
b8fce553-f4c7-4dd5-8e7a-9bddc6b62298,fbe7210f-9f35-4b69-854c-4d633faf9118,5610e7c2-825c-4da6-bedb-c17c26c1d5ee,f005,2025-01-01 12:40:05,291
6b591463-5daf-435f-b803-56c55ceeb097,62ea82c0-e793-4ddb-bb03-c4633bfa3b77,f1a3c321-4167-4a7c-acff-3fce882b4d11,f004,2025-01-01 13:58:16,503
17a70490-ece3-4e44-aa9a-fa77a3e5c371,a4bf98df-4802-4683-adef-867545222e1c,0d31c9b0-8e7b-429b-8d41-8be21a97b7dc,f005,2025-01-01 01:35:01,495
ed5debd1-4c6b-4a16-99c0-f1eb5faba6f3,d677493a-1aa0-4cd3-bed5-d69c529a2adb,19d35e7a-e2ac-499d-a6ae-b9a78cac81fe,f006,2025-01-01 23:18:48,805
0a46cfd5-9870-40db-9f6c-d9cb44bf61e0,d677493a-1aa0-4cd3-bed5-d69c529a2adb,f3d9f10f-e33c-4535-a0d3-afca5c02c2a9,f007,2025-01-01 17:13:11,188
e44e449c-86f9-4d89-844f-38504c52c51d,2c0dfb4c-c826-4936-9ac1-ca9e935ea176,f1e45feb-a2b4-48a8-a746-8deebf1d0bee,f017,2025-01-01 05:41:50,393
dd5b2c8f-2ce2-4470-96da-750e69a9726c,62ea82c0-e793-4ddb-bb03-c4633bfa3b77,0af53d22-5a91-4050-96d3-94151a2d519f,f007,2025-01-01 01:29:46,576
4df86973-8984-42c8-a66d-312aaefbb77f,2c0dfb4c-c826-4936-9ac1-ca9e935ea176,6d4bf102-a8ab-4272-8544-b2f5c05cd4e1,f011,2025-01-01 04:17:11,400
86135c5b-08b7-4302-b965-1ebed3abd365,829e3504-c072-4904-a0d6-a007a11d3908,8c1d7ef7-c065-4a86-820d-5f0460e640e2,f014,2025-01-01 11:13:17,597
